fold,no,clay,silt,sand,BD,omc,hhpa,pF,VWC
1,20,39.2,50.2,10.6,1.42,5.82,444.7,2.726233838,30.3
1,115,26,40.5,33.5,0.57,5.74,7.9,0.975793799,67.9
1,20,39.2,50.2,10.6,1.42,5.82,175,2.321204757,32.5
1,46,16,77.8,6.2,1.35,0.86,456,2.737131551,32.2
1,1083,11.6,22.5,66,0.95,1.21,244.91,2.39,29
1,1016,54.2,34.4,11,0.95,1.01,707.95,2.85,31
1,1069,10.5,18.4,71,1.17,0.8,3.9,0.59,43
1,97,19.8,67,13.2,1.14,3.56,21.4,1.408580482,43.5
1,46,16,77.8,6.2,1.35,0.86,144.8,2.23893527,37.1
1,53,12.4,70.9,16.7,1.58,1.3,3006,3.556155684,20.1
1,152,29.9,54.2,15.9,1.39,5,98.9,2.073363,37.3
1,164,29.8,55,15.2,1.58,1.8,4,0.680226699,41.7
1,88,12.8,71.9,15.3,1.22,0.01,2.2,0.420589389,53.1
1,1069,10.5,18.4,71,1.17,0.8,58.48,1.77,36
1,142,11.6,63.4,25,1.1,12,173.4,2.317215801,36.3
1,143,8.8,53.1,38.1,0.96,8,18,1.333439213,55.6
1,1063,33.1,39.4,28,0.94,2.52,654.64,2.82,27
1,20,39.2,50.2,10.6,1.42,5.82,371.1,2.647657663,30.8
1,1080,11.5,18.4,70,1.23,0.62,94.84,1.98,36
1,1018,37.2,22,41,1.11,0.91,274.16,2.44,34
1,55,32.6,43.3,24.1,1.14,4.5,147.6,2.247253066,40.8
1,20,39.2,50.2,10.6,1.42,5.82,193.4,2.364623178,32.2
1,105,4.3,27.1,68.6,1.39,2.5,74.1,1.947984916,37.5
1,105,4.3,27.1,68.6,1.39,2.5,45.7,1.738082908,46.6
1,1063,33.1,39.4,28,0.94,2.52,46.67,1.67,49
1,1016,54.2,34.4,11,0.95,1.01,18.37,1.26,61
1,118,6.6,78.9,14.5,1.24,1.8,1.3,0.19211006,52
1,105,4.3,27.1,68.6,1.39,2.5,17,1.30861563,47.9
1,88,12.8,71.9,15.3,1.22,0.01,501.2,2.77817777,25.7
1,1047,42,38.7,19,0.87,0.47,41.5,1.62,62
1,149,33.9,50.2,15.9,1.58,0.2,9.7,1.064938442,43.6
1,1033,46,23.8,30,0.92,1.99,457.09,2.66,35
1,1047,42,38.7,19,0.87,0.47,16.56,1.22,65
1,20,39.2,50.2,10.6,1.42,5.82,373.7,2.650689806,30.8
1,1081,22.6,54.3,23,1.11,1.36,837.53,2.92,28
1,95,29.3,55.3,15.4,1.35,0.2,50.1,1.778004434,38.6
1,20,39.2,50.2,10.6,1.42,5.82,417.5,2.698823188,30.5
1,142,11.6,63.4,25,1.1,12,707.9,2.92813862,30.3
1,125,16.7,69.2,14.1,1.69,2.2,29.7,1.550923157,38.7
1,125,16.7,69.2,14.1,1.69,2.2,602.6,2.858195836,27.5
1,115,26,40.5,33.5,0.57,5.74,827.9,2.996144591,33.5
1,1018,37.2,22,41,1.11,0.91,168.27,2.23,37
1,97,19.8,67,13.2,1.14,3.56,30.2,1.558173651,41.1
1,166,27.7,41.6,30.7,1.15,3,190.5,2.358061688,34.4
1,114,26,40.5,33.5,0.56,5.74,111.9,2.126996795,47.6
1,152,29.9,54.2,15.9,1.39,5,23.3,1.445522629,41.8
1,123,5,35.7,59.3,1.47,0,9,1.032409218,41.5
1,1018,37.2,22,41,1.11,0.91,42.56,1.63,52
1,1018,37.2,22,41,1.11,0.91,68.08,1.83,48
1,159,29.1,60.5,10.4,1.48,0.01,333.4,2.601132304,33.1
1,46,16,77.8,6.2,1.35,0.86,270.7,2.510654964,34.3
1,46,16,77.8,6.2,1.35,0.86,689.5,2.916700979,31
