fold,no,clay,silt,sand,BD,omc,hhpa,pF,VWC
1,1080,11.5,18.4,70,1.23,0.62,770.9,2.89,16
1,1015,45.7,30.4,24,0.85,0.49,116.68,2.07,41
1,1069,10.5,18.4,71,1.17,0.8,82.6,1.92,33
1,46,16,77.8,6.2,1.35,0.86,547.5,2.816550832,31.6
1,126,14.7,75.3,10,1.29,0,8.5,1.007585634,45
1,1081,22.6,54.3,23,1.11,1.36,77.62,1.89,47
1,126,14.7,75.3,10,1.29,0,94.4,2.053138702,32.8
1,1083,11.6,22.5,66,0.95,1.21,147.57,2.17,35
1,142,11.6,63.4,25,1.1,12,13.7,1.214887275,53.1
1,1083,11.6,22.5,66,0.95,1.21,90.99,1.96,38
1,149,33.9,50.2,15.9,1.58,0.2,9.1,1.0372081,43.6
1,123,5,35.7,59.3,1.47,0,126.8,2.181285962,30.4
1,167,23.4,71.5,5.1,1.14,6,2,0.379196704,55.4
1,1064,28.8,33.5,38,1.11,2.56,143.55,2.16,36
1,1080,11.5,18.4,70,1.23,0.62,874.98,2.94,15
1,152,29.9,54.2,15.9,1.39,5,7.5,0.953227972,48
1,1065,34.8,30.7,35,1.09,1.34,35.56,1.55,47
1,1045,51.1,35.3,14,0.77,1.02,18.37,1.26,64
1,1063,33.1,39.4,28,0.94,2.52,18.32,1.26,58
1,46,16,77.8,6.2,1.35,0.86,380.2,2.658178821,32.9
1,143,8.8,53.1,38.1,0.96,8,103,2.091003933,48.7
1,46,16,77.8,6.2,1.35,0.86,624.3,2.873560043,31.3
1,126,14.7,75.3,10,1.29,0,20.9,1.398312994,43.1
1,20,39.2,50.2,10.6,1.42,5.82,409.6,2.690526656,30.5
1,152,29.9,54.2,15.9,1.39,5,8.1,0.986651727,47.6
1,1018,37.2,22,41,1.11,0.91,588.84,2.77,29
